25 20
#############
#.h........b#    ########
#...s...s...######*h.p..#
#....b......g..d......p.#
#.....b.....######......#
#.....s.....#    #......#
#...........#    #**p...#
#a..........#    #h*...*#
#####..######    ###..###
    #..#           #gg#
    #..#           #..#
    #..#          ##..##
  ###..####      #*....t#
  #..@....#      #.t...*#
  #.......#      #....t.#
  #.......#      #......#
  #.k...w.#      #..tt..#
  #.......#      #.....h#
  #..b....#      #.*...t#
  #########       ######
